"Age"	"Height"	"Weight"
"child"	50.19675	55
"child"	36.81095	27.94
"child"	59.68492	99
"child"	62.95263	150.26
"adult"	64.52743	154.22
"adult"	64.25184	151.8
"adult"	64.84239	148.94
"child"	64.9605	106.92
"adult"	62.55893	133.1
"child"	64.48806	112.2
"adult"	63.03137	171.82
"child"	65.78727	147.62
"adult"	62.992	145.64
"adult"	67.44081	135.74
"adult"	58.38571	152.24
"child"	57.4802	99
"adult"	61.22035	240.9
"adult"	59.36996	86.9
"child"	61.8109	150.92
"child"	62.36208	115.72
"adult"	63.93688	127.38
"child"	60.51169	104.06
"child"	65.3542	119.9
"child"	52.91328	65.34
"child"	53.42509	99.44
"child"	62.24397	174.24
"child"	62.5983	106.26
"child"	53.5432	68.64
"child"	53.5432	78.76
"adult"	61.96838	190.96
"adult"	65.11798	145.2
"adult"	64.21247	169.84
"child"	67.48018	175.12
"adult"	61.45657	121.88
"child"	64.21247	137.5
"adult"	67.48018	133.1
"adult"	63.7794	136.4
"child"	45.78731	45.76
"child"	63.3857	174.24
"adult"	62.87389	122.32
"child"	60.55106	112.42
"child"	40.03929	33
"child"	68.07073	122.76
"child"	67.63766	139.92
"adult"	64.33058	196.24
"adult"	61.57468	190.96
"adult"	60.39358	118.14
"adult"	66.73215	219.12
"adult"	57.99201	119.46
"adult"	67.79514	163.9
"adult"	61.49594	135.96
"adult"	64.48806	162.8
"child"	63.42507	116.38
"child"	66.73215	162.36
"child"	40.11803	35.86
"child"	58.77941	104.5
"adult"	66.85026	217.8
"child"	64.72428	128.92
"child"	43.62196	63.8
"adult"	59.99988	166.98
"adult"	61.18098	97.9
"adult"	63.66129	153.56
"adult"	61.65342	148.72
"child"	46.33849	71.5
"adult"	64.68491	130.68
"adult"	63.58255	110.66
"adult"	60.19673	119.68
"adult"	63.50381	120.34
"child"	35.62985	31.46
"adult"	63.70066	152.02
"adult"	61.92901	240.46
"adult"	69.88175	223.96
"adult"	65.82664	189.86
"child"	65.7479	128.92
"child"	57.79516	93.94
"adult"	63.11011	258.94
"child"	56.81091	123.86
"adult"	66.25971	136.62
"child"	43.97629	34.98
"adult"	65.39357	152.68
"adult"	62.63767	183.48
"adult"	68.42506	162.36
"adult"	63.81877	195.14
"child"	62.87389	83.38
"adult"	67.7164	169.84
"adult"	61.96838	101.86
"adult"	67.75577	207.68
"child"	48.38573	54.78
"adult"	61.4172	137.72
"child"	63.54318	161.92
"child"	61.73216	108.68
"child"	41.61409	49.94
"child"	53.07076	71.28
"adult"	61.37783	173.14
"adult"	64.92113	155.98
"adult"	64.68491	193.16
"adult"	66.41719	133.54
"child"	46.18101	48.84
"adult"	69.88175	168.3
"child"	64.01562	120.56
"adult"	67.48018	171.16
"child"	41.10228	40.04
"child"	54.76367	88.22
"adult"	62.24397	210.54
"child"	58.97626	95.48
"adult"	64.25184	134.42
"child"	37.99205	33
"child"	36.77158	33.44
"adult"	66.45656	216.04
"adult"	64.5668	157.08
"adult"	60.11799	173.36
"child"	62.51956	133.98
"child"	39.7637	33
"child"	62.08649	146.74
"child"	40.11803	33.66
"child"	40.35425	31.9
"child"	34.13379	24.86
"adult"	64.84239	135.74
"adult"	61.14161	111.76
"child"	35.8267	34.98
"adult"	59.4487	112.2
"adult"	65.03924	183.48
"adult"	62.75578	123.86
"adult"	65.31483	151.36
"child"	51.49596	61.38
"adult"	64.88176	152.02
"adult"	62.48019	144.32
"adult"	70.35419	149.6
"adult"	65.3542	259.6
"adult"	65.86601	200.64
"adult"	68.62191	190.74
"child"	50.07864	58.96
"adult"	64.68491	168.52
"child"	36.18103	30.36
"adult"	60.27547	124.52
"adult"	65.43294	221.54
"adult"	62.44082	176.44
"child"	42.55897	38.06
"child"	38.46449	32.56
"adult"	65.70853	219.12
"adult"	61.85027	198.88
"adult"	60.51169	222.2
"child"	40.43299	33.44
"adult"	63.74003	192.28
"child"	44.60621	43.34
"adult"	63.93688	202.62
"child"	64.9605	139.26
"adult"	61.22035	106.48
"adult"	62.12586	227.48
"adult"	59.09437	121.44
"adult"	65.94475	133.1
"adult"	61.45657	150.04
"adult"	62.48019	131.78
"adult"	66.85026	206.8
"child"	59.33059	96.8
"adult"	63.46444	110.66
"adult"	63.66129	190.3
"child"	58.93689	147.18
"child"	55.98414	115.06
"child"	61.06287	107.8
"child"	60.19673	99.66
"child"	62.44082	124.74
"adult"	63.18885	211.2
"child"	48.54321	52.8
"adult"	63.07074	174.46
"adult"	69.2912	144.54
"adult"	63.3857	119.68
"adult"	64.48806	112.42
"adult"	63.74003	438.68
"adult"	61.61405	103.4
"child"	56.61406	100.98
"adult"	64.09436	282.04
"child"	61.53531	116.82
"adult"	61.65342	185.24
"adult"	63.89751	118.36
"child"	64.72428	147.4
"adult"	60.74791	131.34
"adult"	62.04712	143.66
"adult"	60.90539	196.9
"child"	41.69283	34.98
"child"	35.39363	31.68
"adult"	59.33059	158.62
"child"	67.51955	187.66
"child"	36.06292	31.24
"adult"	62.992	202.4
"adult"	63.14948	239.36
"adult"	65.98412	186.56
"adult"	66.49593	151.58
"child"	66.49593	128.26
"adult"	59.29122	120.56
"child"	61.88964	96.14
"child"	57.20461	89.76
"adult"	63.22822	109.12
"adult"	61.92901	187
"adult"	64.13373	176.44
"adult"	64.1731	237.38
"adult"	62.12586	219.34
"adult"	61.65342	114.4
"adult"	64.5668	159.28
"adult"	63.58255	153.78
"adult"	65.39357	155.54
"child"	59.055	139.92
"adult"	58.11012	130.46
"adult"	61.77153	125.18
"adult"	63.54318	130.68
"adult"	63.89751	115.5
"child"	47.36211	38.72
"child"	66.06286	154.88
"adult"	65.90538	127.38
"adult"	64.99987	171.16
"adult"	64.68491	148.72
"child"	59.56681	119.46
"adult"	60.86602	146.08
"child"	65.23609	116.82
"adult"	65.07861	209.22
"adult"	67.04711	218.24
"child"	61.85027	116.16
"child"	63.66129	125.62
"adult"	60.35421	132.88
"adult"	62.16523	275.44
"adult"	69.6849	131.78
"adult"	63.85814	214.72
"adult"	62.63767	193.6
"adult"	64.21247	134.64
"child"	63.42507	135.3
"child"	59.99988	92.62
"adult"	66.02349	122.98
"adult"	65.15735	146.08
"adult"	62.55893	198.88
"adult"	66.22034	137.94
"adult"	61.22035	206.8
"child"	66.73215	209.88
"child"	57.0865	89.32
"child"	63.11011	179.52
"adult"	62.79515	164.56
"child"	59.21248	110.44
"child"	59.99988	97.46
"adult"	65.78727	212.08
"adult"	61.37783	164.12
"child"	44.0944	40.7
"child"	63.93688	117.26
"adult"	57.75579	157.74
"adult"	64.52743	170.72
"adult"	67.91325	186.78
"child"	63.54318	156.86
"child"	48.30699	66.88
"adult"	59.13374	170.28
"child"	68.5038	174.9
"child"	59.76366	145.2
"child"	56.61406	83.6
"adult"	60.94476	143.44
"adult"	65.70853	162.58
"adult"	62.83452	149.6
"adult"	63.34633	165.88
"adult"	60.11799	110.44
"child"	34.80308	26.62
"child"	60.70854	144.32
"adult"	62.95263	167.2
"child"	60.98413	136.4
"child"	38.70071	31.24
"child"	42.16527	35.64
"child"	62.24397	137.72
"child"	55.62981	82.06
"adult"	62.32271	199.76
"adult"	64.40932	254.98
"child"	63.26759	145.86
"adult"	64.80302	124.3
"adult"	66.88963	163.9
"child"	52.71643	65.56
"adult"	67.08648	187.22
"child"	51.06289	58.74
"adult"	63.50381	123.64
"child"	62.5983	102.08
"adult"	57.67705	174.68
"adult"	62.51956	160.82
"adult"	68.54317	128.48
"child"	63.18885	113.74
"adult"	70.78726	199.54
"adult"	65.55105	142.56
"adult"	64.25184	159.5
"child"	63.3857	105.82
"child"	47.36211	67.76
"child"	36.92906	30.58
"adult"	69.40931	161.48
"child"	36.49599	31.24
"adult"	63.3857	200.64
"child"	46.0629	44.44
"child"	57.75579	125.4
"child"	65.47231	212.52
"adult"	63.46444	152.46
"adult"	61.49594	135.52
"adult"	56.85028	144.98
"adult"	61.73216	176.88
"adult"	59.76366	94.38
"child"	62.67704	126.06
"child"	46.41723	45.76
"adult"	68.62191	261.8
"child"	64.44869	104.06
"adult"	64.09436	143.66
"child"	66.73215	109.56
"adult"	65.94475	167.86
"child"	63.81877	106.7
"child"	66.69278	117.26
"adult"	58.70067	127.16
"adult"	63.34633	177.32
"child"	58.03138	114.84
"adult"	66.25971	217.8
"child"	67.08648	183.92
"adult"	58.70067	141.9
"adult"	59.8424	95.92
"child"	45.55109	43.12
"child"	50.55108	59.4
"child"	49.52746	52.58
"child"	70.35419	134.64
"adult"	67.67703	124.96
"adult"	62.83452	128.92
"adult"	58.93689	173.58
"child"	65.59042	122.98
"adult"	61.4172	164.34
"adult"	66.33845	170.06
"adult"	64.80302	224.84
"child"	52.67706	64.02
"child"	50.82667	50.16
"child"	36.88969	32.56
"child"	63.58255	110.88
"adult"	63.3857	179.96
"child"	51.14163	75.9
"adult"	63.14948	170.72
"adult"	66.02349	234.08
"child"	60.15736	124.08
"adult"	65.90538	124.08
"child"	60.94476	95.7
"child"	47.87392	48.4
"child"	63.85814	181.94
"adult"	63.85814	233.42
"adult"	65.43294	106.7
"adult"	63.85814	185.68
"adult"	62.44082	118.36
"child"	35.51174	28.38
"adult"	62.00775	288.42
"adult"	61.29909	133.54
"child"	43.97629	41.36
"adult"	58.74004	168.52
"child"	33.8582	23.76
"adult"	60.70854	102.96
"adult"	65.55105	143.88
"child"	44.99991	45.32
"child"	65.07861	150.7
"adult"	60.6298	243.32
"child"	58.50382	91.3
"child"	62.5983	117.04
"adult"	63.7794	294.58
"adult"	64.48806	120.12
"adult"	63.14948	119.9
"child"	34.48812	27.28
"child"	65.07861	197.78
"child"	54.96052	62.04
"child"	54.36997	76.34
"adult"	60.94476	99
"adult"	64.44869	138.6
"adult"	65.86601	208.12
"adult"	60.19673	116.16
"adult"	63.62192	185.46
"child"	51.37785	82.5
"child"	51.49596	63.14
"child"	62.40145	109.12
"adult"	62.00775	115.72
"adult"	62.36208	102.96
"adult"	63.89751	176.66
"adult"	65.27546	260.48
"adult"	62.55893	192.5
"adult"	67.51955	221.54
"adult"	54.56682	134.64
"adult"	62.91326	121.66
"child"	60.86602	131.34
"adult"	62.71641	222.64
"adult"	59.99988	180.84
"child"	57.20461	83.16
"child"	41.7322	45.1
"adult"	60.59043	158.84
"child"	43.77944	52.58
"adult"	66.45656	205.48
"child"	64.99987	144.76
"adult"	61.77153	124.74
"child"	62.24397	117.92
"child"	62.79515	104.06
"adult"	63.62192	127.38
"adult"	68.14947	160.82
"adult"	63.85814	196.68
"adult"	55.23611	129.58
"adult"	59.4487	178.64
"adult"	62.2046	113.3
"adult"	57.75579	158.18
"child"	60.86602	127.6
"adult"	64.33058	155.54
"adult"	62.36208	116.38
"child"	46.33849	45.98
"adult"	62.95263	212.52
"adult"	66.02349	207.9
"child"	37.91331	33.66
"adult"	60.55106	185.02
"child"	49.48809	49.5
"adult"	61.85027	261.14
"child"	61.96838	227.7
"adult"	68.34632	129.8
"adult"	61.53531	199.1
"child"	62.63767	114.4
"adult"	60.94476	140.58
"child"	61.4172	100.98
"adult"	62.83452	202.18
"adult"	63.54318	142.12
"adult"	60.66917	158.4
"adult"	55.19674	116.16
"child"	54.76367	66.88
"child"	58.42508	70.84
"child"	64.9605	104.28
"adult"	67.59829	136.18
"adult"	59.52744	166.76
"adult"	66.22034	166.32
"child"	61.85027	108.02
"child"	63.42507	123.42
"child"	44.52747	40.26
"child"	59.21248	105.6
"adult"	63.70066	212.74
"adult"	64.99987	137.72
"adult"	60.90539	157.08
"child"	64.1731	214.28
"adult"	65.03924	192.28
"child"	42.40149	41.58
"adult"	63.85814	164.78
"adult"	63.34633	299.64
"adult"	66.25971	164.56
"child"	47.59833	63.36
"adult"	62.00775	144.32
"child"	50.19675	62.92
"adult"	61.0235	152.24
"adult"	60.31484	86.02
"adult"	63.07074	277.42
"child"	64.01562	102.3
"adult"	64.60617	296.56
"adult"	64.72428	207.9
"child"	45.62983	48.4
"child"	38.07079	28.16
"child"	34.76371	27.72
"adult"	68.22821	130.68
"adult"	64.5668	124.74
"adult"	62.95263	113.3
"adult"	67.59829	261.14
"child"	52.40147	73.92
"child"	42.75582	42.68
"adult"	63.7794	156.86
"child"	45.35424	50.6
"adult"	64.60617	158.84
"child"	54.48808	110.88
"adult"	59.68492	178.64
"child"	46.02353	38.28
"child"	64.21247	108.9
"adult"	61.57468	146.3
"child"	39.25189	30.36
"adult"	62.08649	129.8
"child"	61.96838	154.66
"adult"	64.09436	177.54
"child"	40.51173	38.94
"adult"	60.90539	184.58
"adult"	59.52744	159.72
"child"	36.65347	32.78
"adult"	64.40932	168.3
"adult"	61.45657	166.98
"child"	58.14949	90.86
"adult"	66.33845	152.68
"adult"	65.23609	156.86
"adult"	60.43295	133.76
"child"	32.79521	23.32
"adult"	66.45656	109.12
"adult"	66.73215	225.28
"child"	63.07074	119.68
"adult"	64.68491	181.5
"child"	31.45663	22
"child"	38.1889	31.24
"adult"	60.98413	145.86
"adult"	63.18885	145.86
"child"	60.66917	114.4
"adult"	64.88176	187
"adult"	65.43294	257.4
"child"	42.59834	40.04
"adult"	66.41719	244.64
"adult"	62.2046	135.52
"adult"	59.64555	128.7
"adult"	64.72428	222.64
"child"	31.73222	21.78
"adult"	65.98412	179.3
"adult"	64.25184	154.44
"child"	50.3936	58.52
"adult"	61.88964	120.56
"adult"	67.04711	157.96
"adult"	66.77152	132.22
"child"	47.99203	46.42
"adult"	58.70067	120.34
"child"	63.11011	152.9
"adult"	62.48019	204.38
"child"	60.6298	171.38
"adult"	63.26759	151.58
"child"	66.65341	133.54
"child"	64.09436	120.12
"child"	68.46443	130.24
"adult"	65.19672	119.46
"adult"	60.78728	176.66
"adult"	64.05499	106.04
"adult"	61.22035	191.18
"child"	52.71643	62.92
"adult"	64.09436	151.36
"child"	42.40149	37.84
"child"	39.7637	37.4
"adult"	66.10223	192.72
"adult"	62.12586	260.92
"adult"	59.88177	93.06
"adult"	61.77153	103.4
"child"	66.29908	160.38
"adult"	62.71641	176.22
"adult"	59.09437	168.08
"adult"	61.14161	150.7
"child"	57.16524	105.38
"child"	44.40936	45.32
"child"	41.57472	42.24
"child"	46.49597	62.92
"adult"	64.76365	180.84
"child"	67.7164	123.2
"adult"	63.85814	179.52
"child"	53.81879	91.3
"child"	55.43296	81.62
"adult"	65.03924	172.7
"child"	62.83452	139.26
"child"	36.49599	31.68
"adult"	65.78727	198.66
"child"	44.92117	42.24
"adult"	61.88964	194.04
"child"	34.33064	26.84
"adult"	62.79515	118.36
"adult"	59.80303	150.7
"adult"	63.46444	135.52
"child"	59.33059	78.76
"adult"	62.12586	169.18
"adult"	64.33058	188.98
"adult"	65.59042	242.66
"child"	39.52748	34.54
"adult"	66.18097	238.7
"adult"	62.79515	169.84
"adult"	60.07862	172.7
"adult"	61.77153	153.34
"adult"	65.78727	188.98
"adult"	62.36208	116.16
"adult"	58.14949	121
"adult"	62.48019	217.14
"child"	41.10228	37.62
"adult"	67.63766	144.54
"adult"	65.31483	154.66
"adult"	66.18097	240.9
"adult"	65.3542	164.78
"adult"	63.11011	151.8
"adult"	68.03136	237.16
"adult"	59.01563	126.28
"child"	64.80302	162.58
"child"	58.14949	143.22
"child"	40.62984	42.68
"child"	54.48808	108.46
"adult"	64.05499	193.6
"adult"	66.02349	166.76
"child"	62.91326	144.32
"adult"	61.69279	169.4
"adult"	61.53531	122.98
"adult"	55.9054	117.26
"adult"	64.05499	219.78
"child"	61.37783	170.72
"adult"	62.91326	220.22
"child"	67.87388	175.78
"child"	55.82666	116.38
"child"	39.92118	31.24
"adult"	66.18097	130.02
"adult"	56.57469	95.26
"child"	65.7479	187.66
"child"	60.19673	92.84
"adult"	64.5668	172.48
"adult"	62.24397	158.4
"adult"	61.88964	210.1
"adult"	65.51168	200.64
"adult"	66.69278	254.54
"adult"	64.33058	214.94
"child"	63.46444	160.38
"child"	66.73215	132.66
"adult"	61.0235	150.26
"adult"	66.61404	113.08
"adult"	60.39358	105.38
"adult"	61.92901	129.58
"adult"	64.40932	149.6
"child"	60.98413	152.02
"child"	62.12586	138.82
"adult"	57.24398	208.78
"adult"	62.12586	176.44
"child"	46.81093	45.1
"child"	63.14948	127.6
"adult"	61.10224	91.3
"child"	66.49593	113.52
"child"	36.10229	30.8
"adult"	65.31483	183.26
"child"	66.02349	114.84
"adult"	66.69278	152.68
"adult"	65.86601	209.88
"child"	67.12585	103.4
"child"	63.42507	125.18
"adult"	57.75579	112.86
"child"	62.36208	149.38
"adult"	64.36995	180.62
"child"	59.4487	156.64
"adult"	63.03137	181.06
"adult"	66.73215	142.12
"adult"	66.10223	193.16
"adult"	64.88176	158.62
"child"	59.4487	114.84
"adult"	63.11011	138.6
"adult"	62.48019	154.88
"adult"	62.5983	183.7
"child"	51.88966	54.12
"child"	39.37	35.2
"child"	35.62985	31.02
"adult"	65.78727	185.02
"child"	44.80306	41.36
"adult"	58.11012	111.1
"adult"	61.77153	136.62
"adult"	61.22035	124.96
"adult"	63.81877	129.14
"child"	63.66129	140.36
"adult"	65.03924	197.12
"adult"	63.18885	210.76
"adult"	67.36207	157.74
"adult"	64.60617	116.6
"child"	50.62982	75.46
"child"	64.40932	176.88
"adult"	60.86602	196.46
"child"	44.21251	42.24
"adult"	66.22034	245.52
"child"	36.02355	32.78
"child"	37.75583	39.6
"child"	69.13372	198
"adult"	66.85026	203.5
"adult"	64.01562	155.1
"child"	34.09442	26.62
"child"	66.06286	384.56
"child"	60.94476	146.08
"adult"	61.77153	126.72
"child"	67.44081	155.32
"adult"	65.43294	133.54
"adult"	61.77153	185.46
"child"	63.85814	116.16
"child"	37.48024	29.92
"adult"	60.2361	112.42
"child"	37.71646	30.58
"child"	61.65342	128.48
"child"	49.68494	55.66
"adult"	60.59043	273.02
"adult"	66.06286	130.9
"child"	47.28337	46.64
"child"	53.5432	58.74
"adult"	61.14161	114.18
"adult"	63.50381	212.52
"adult"	60.19673	133.98
"adult"	59.8424	128.48
"adult"	58.46445	107.8
"adult"	65.86601	146.96
"adult"	56.49595	120.34
"adult"	65.90538	131.34
"child"	62.48019	131.78
"adult"	61.29909	190.08
"adult"	61.25972	176.66
"adult"	65.39357	128.7
"adult"	58.07075	153.56
"adult"	64.60617	176.66
"adult"	62.32271	178.2
"child"	61.33846	73.48
"adult"	66.5353	111.76
"adult"	60.82665	153.56
"child"	43.85818	45.32
"adult"	66.25971	229.9
"child"	63.3857	120.56
"adult"	62.2046	143
"adult"	64.13373	189.64
"adult"	68.54317	169.18
"adult"	67.59829	220.66
"adult"	57.44083	165.44
"adult"	64.1731	189.86
"adult"	67.12585	129.36
"adult"	60.86602	116.82
"adult"	64.80302	161.04
"adult"	62.95263	160.6
"adult"	66.81089	163.9
"adult"	63.7794	139.48
"child"	47.48022	49.72
"child"	43.85818	41.8
"child"	63.34633	223.3
"adult"	61.8109	129.14
"adult"	60.82665	178.42
"child"	50.7873	60.5
"child"	64.88176	97.24
"adult"	61.33846	192.94
"adult"	62.79515	229.24
"adult"	63.30696	202.18
"child"	62.67704	113.52
"adult"	57.20461	125.4
"child"	63.30696	121.44
"adult"	63.97625	174.46
"child"	66.69278	168.52
"child"	62.71641	146.3
"adult"	66.61404	132
"adult"	62.79515	179.3
"adult"	63.54318	170.72
"adult"	65.47231	169.62
"adult"	64.72428	171.38
"child"	60.6298	97.46
"adult"	63.26759	133.54
"adult"	61.0235	155.98
"adult"	61.14161	131.78
"adult"	62.08649	170.28
"child"	55.94477	73.04
"adult"	63.14948	210.1
"child"	42.87393	42.24
"adult"	66.18097	163.9
"adult"	65.94475	183.04
"adult"	65.31483	228.8
"adult"	67.00774	194.7
"child"	52.63769	61.38
"adult"	65.23609	162.36
"child"	62.04712	108.46
"adult"	61.88964	130.68
"adult"	63.7794	204.6
"adult"	63.74003	128.92
"child"	40.70858	37.84
"child"	60.98413	123.64
"adult"	59.36996	173.36
"adult"	58.46445	132.66
"child"	62.24397	114.4
"adult"	64.9605	230.12
"adult"	63.3857	195.8
"adult"	61.4172	150.26
"child"	66.37782	181.5
"adult"	57.36209	130.68
"adult"	67.59829	217.14
"child"	31.41726	23.1
"adult"	60.31484	147.84
"adult"	60.39358	98.78
"adult"	65.82664	154.66
"child"	62.44082	120.34
"child"	43.42511	37.18
"child"	59.055	86.68
"child"	34.48812	26.4
"adult"	59.96051	121
"adult"	65.43294	166.76
"adult"	64.64554	220.66
"adult"	65.90538	185.46
"adult"	61.14161	187.66
"child"	45.94479	60.28
"adult"	63.30696	134.64
"adult"	64.01562	157.74
"adult"	59.29122	92.62
"adult"	68.38569	139.7
"adult"	61.92901	154
"adult"	62.51956	106.7
"child"	53.81879	58.74
"adult"	59.25185	95.7
"adult"	65.39357	208.78
"adult"	59.99988	138.6
"child"	66.06286	144.1
"adult"	62.28334	124.3
"adult"	58.22823	133.32
"adult"	66.57467	304.92
"child"	63.3857	114.4
"child"	60.03925	101.64
"adult"	62.48019	152.68
"adult"	61.49594	161.04
"adult"	67.87388	163.24
"child"	58.85815	80.96
"adult"	61.18098	184.8
"adult"	66.06286	150.04
"adult"	64.72428	115.72
"child"	67.28333	188.76
"child"	45.47235	49.94
"adult"	66.37782	168.96
"child"	47.48022	54.78
"adult"	64.99987	127.38
"adult"	63.62192	138.82
"adult"	60.51169	120.34
"adult"	62.992	203.72
"adult"	66.25971	153.56
"child"	42.63771	38.28
"child"	37.67709	36.52
"child"	64.9605	139.26
"child"	51.73218	63.8
"adult"	61.4172	127.38
"child"	49.13376	56.76
"adult"	63.34633	201.74
"child"	60.2361	136.4
"child"	65.07861	133.1
"adult"	63.66129	166.32
"child"	56.6928	68.42
"adult"	63.81877	147.4
"child"	45.31487	48.4
"adult"	58.70067	84.48
"adult"	66.77152	165.22
"adult"	65.55105	195.14
"child"	61.65342	123.64
"adult"	65.43294	135.3
"child"	57.63768	113.52
"adult"	67.16522	223.96
"child"	44.8818	42.9
"adult"	67.20459	159.5
"adult"	63.74003	121.44
"adult"	69.92112	171.16
"adult"	58.42508	193.38
"adult"	65.51168	155.32
"child"	60.11799	120.56
"adult"	65.62979	128.26
"child"	36.14166	34.98
"adult"	59.56681	133.32
"adult"	63.46444	138.16
"adult"	67.3227	127.6
"child"	43.77944	42.24
"child"	51.22037	65.34
"adult"	56.73217	104.72
"adult"	59.52744	138.38
"adult"	58.6613	140.8
"adult"	62.08649	110.44
"adult"	61.22035	164.56
"adult"	66.10223	148.94
"adult"	66.61404	120.78
"adult"	61.57468	150.04
"adult"	62.95263	119.46
"child"	56.6928	111.98
"child"	51.22037	69.96
"child"	39.96055	33.88
"child"	36.29914	28.82
"child"	42.9133	43.34
"adult"	65.55105	129.14
"child"	43.58259	45.98
"child"	44.40936	42.68
"adult"	67.48018	203.5
"adult"	64.68491	169.18
"adult"	66.57467	150.26
"child"	64.36995	115.94
"adult"	57.79516	115.5
"adult"	65.07861	141.02
"adult"	56.06288	107.36
"child"	45.23613	41.58
"adult"	60.51169	212.3
"child"	63.22822	174.68
"child"	58.03138	91.52
"adult"	62.55893	101.2
"adult"	67.00774	265.32
"adult"	60.2361	170.94
"adult"	63.62192	140.14
"child"	63.03137	140.36
"child"	55.5117	102.52
"child"	59.055	137.28
"adult"	64.13373	204.38
"child"	51.14163	57.2
"adult"	61.0235	126.5
"child"	36.49599	30.36
"adult"	65.03924	118.14
"child"	53.46446	61.82
"adult"	64.84239	164.12
"adult"	62.91326	162.58
"adult"	58.62193	115.06
"child"	39.64559	33.66
"child"	48.85817	68.86
"adult"	63.85814	154.22
"adult"	58.93689	124.3
"child"	43.22826	37.18
"child"	55.03926	110
"child"	44.0944	41.58
"adult"	59.99988	151.14
"adult"	62.00775	143.66
"adult"	69.09435	275.44
"adult"	63.30696	154.44
"adult"	64.40932	104.28
"child"	42.87393	44
"child"	58.46445	119.9
"adult"	63.7794	153.12
"child"	63.42507	183.04
"adult"	65.82664	208.56
"child"	67.67703	120.34
"child"	36.06292	27.5
"child"	42.99204	41.36
"child"	57.8739	71.72
"adult"	66.45656	182.82
"adult"	64.9605	147.4
"adult"	63.54318	216.04
"child"	55.43296	109.12
"adult"	59.68492	114.84
"adult"	61.73216	113.08
"child"	66.65341	128.7
"adult"	64.92113	147.84
"adult"	62.24397	186.12
"child"	64.13373	140.36
"adult"	62.48019	107.58
"child"	34.99993	30.14
"adult"	67.04711	334.4
"child"	49.44872	51.92
"child"	59.68492	126.94
"adult"	63.93688	163.68
"adult"	64.99987	139.92
"adult"	63.42507	114.62
"adult"	58.6613	119.24
"child"	57.91327	146.52
"adult"	64.9605	343.86
"adult"	63.93688	186.34
"adult"	63.11011	147.4
"child"	59.29122	112.86
"adult"	66.10223	197.56
"adult"	61.61405	158.84
"child"	62.28334	124.74
"adult"	56.49595	126.06
"adult"	62.48019	135.08
"adult"	60.90539	182.16
"adult"	64.64554	116.16
"child"	63.58255	253.88
"child"	64.84239	196.9
"adult"	59.76366	95.48
"adult"	66.57467	194.7
"adult"	59.8424	120.12
"child"	46.29912	49.72
"adult"	60.19673	170.5
"adult"	60.94476	184.58
"adult"	64.88176	119.46
"adult"	59.4487	136.18
"adult"	57.99201	217.8
"adult"	61.69279	117.92
"adult"	62.95263	121.88
"child"	56.96839	93.94
"adult"	62.87389	135.74
"child"	63.93688	127.38
"adult"	64.9605	174.9
"adult"	66.85026	140.14
"child"	42.83456	46.86
"child"	43.307	37.18
"child"	35.433	30.58
"child"	57.55894	138.82
"adult"	64.13373	211.86
"adult"	63.07074	181.06
"child"	65.19672	113.96
"child"	65.78727	138.82
"child"	36.88969	34.32
"adult"	63.46444	280.28
"adult"	60.70854	168.74
"adult"	64.09436	161.7
"adult"	64.1731	190.3
"child"	60.07862	84.48
"adult"	61.77153	101.42
"adult"	66.77152	145.86
"adult"	62.5983	176.88
"child"	65.15735	219.56
"adult"	67.7164	134.2
"adult"	63.42507	128.92
"adult"	60.74791	134.42
"adult"	66.06286	125.62
"adult"	64.84239	182.6
"child"	52.20462	92.4
"adult"	60.07862	128.92
"adult"	59.64555	163.02
"adult"	65.11798	161.7
"child"	39.37	31.24
"adult"	60.6298	208.34
"adult"	66.49593	177.1
"adult"	67.36207	133.1
"adult"	66.81089	157.08
"child"	36.2204	31.68
"adult"	62.87389	165.66
"child"	60.47232	158.62
"child"	52.99202	62.7
"child"	38.46449	31.24
"adult"	63.54318	192.94
"adult"	63.85814	203.28
"adult"	63.62192	139.04
"adult"	64.44869	156.2
"adult"	64.5668	130.02
"adult"	61.65342	109.78
"adult"	66.5353	238.7
"adult"	61.33846	118.8
"child"	60.55106	161.04
"adult"	62.36208	103.18
"adult"	64.09436	106.48
"adult"	63.07074	170.72
"child"	63.50381	135.3
"adult"	60.78728	158.18
"adult"	68.34632	211.64
"adult"	65.59042	154
"adult"	65.11798	171.16
"adult"	65.23609	154.66
"adult"	62.36208	170.06
"adult"	68.70065	153.78
"child"	59.48807	120.12
"adult"	67.36207	140.36
"child"	60.55106	194.04
"child"	64.36995	137.28
"adult"	61.45657	158.84
"adult"	67.7164	221.32
"child"	62.40145	176.66
"adult"	60.82665	113.08
"child"	61.92901	170.94
"adult"	60.55106	146.52
"adult"	59.25185	128.04
"child"	40.82669	40.48
"adult"	68.70065	151.8
"adult"	65.7479	168.74
"child"	40.39362	34.76
"adult"	61.77153	172.04
"adult"	64.13373	124.08
"child"	50.23612	55.22
"adult"	63.3857	141.24
"adult"	58.22823	160.82
"child"	57.71642	79.42
"child"	63.03137	103.62
"adult"	60.82665	129.36
"adult"	67.99199	200.86
"adult"	61.85027	149.82
"child"	65.59042	244.42
"adult"	65.15735	136.62
"child"	56.33847	81.4
"adult"	68.5038	143.66
"child"	42.99204	48.18
"child"	60.03925	89.1
"adult"	62.51956	164.12
"child"	44.44873	48.4
"adult"	63.26759	151.58
"child"	65.19672	114.4
