"Age"	"Height"	"Weight"
"child"	60.55106	86.46
"child"	64.05499	119.68
"adult"	65.19672	179.96
"child"	62.83452	108.9
"child"	63.62192	129.36
"child"	39.44874	36.3
"adult"	65.62979	183.92
"child"	56.10225	103.62
"adult"	62.2046	137.94
"adult"	63.42507	141.9
"child"	63.14948	194.26
"adult"	68.38569	218.9
"child"	39.52748	36.74
"adult"	57.75579	131.56
"child"	63.26759	107.14
"child"	41.49598	40.26
"child"	44.13377	40.26
"child"	43.42511	52.58
"adult"	65.94475	155.32
"child"	62.75578	118.8
"child"	50.94478	90.64
"child"	36.18103	25.52
"adult"	61.96838	176.66
"child"	57.51957	91.52
"child"	37.08654	29.04
"adult"	60.47232	127.82
"adult"	61.49594	207.24
"adult"	64.36995	335.5
"adult"	65.86601	254.1
"adult"	65.31483	213.62
"adult"	58.77941	162.14
"adult"	65.7479	162.36
"adult"	63.7794	151.36
"child"	51.61407	57.2
"adult"	64.60617	205.7
"adult"	61.88964	104.28
"adult"	59.13374	162.58
"child"	38.07079	39.16
"child"	50.98415	65.56
"child"	61.06287	126.72
"child"	65.15735	121.88
"adult"	64.40932	133.98
"child"	38.89756	30.36
"adult"	57.24398	134.64
"adult"	58.81878	118.58
"adult"	57.20461	142.34
"adult"	61.77153	149.82
"adult"	65.51168	100.98
"child"	51.29911	72.38
"child"	46.0629	45.54
"adult"	61.18098	145.42
"adult"	64.13373	152.68
"child"	44.60621	44.88
"adult"	62.75578	220.44
"child"	65.03924	117.7
"adult"	64.48806	280.5
"child"	52.55895	78.1
"adult"	65.23609	121.44
"adult"	63.81877	207.46
"adult"	55.94477	120.56
"adult"	62.67704	137.72
"adult"	65.90538	142.12
"adult"	65.23609	141.02
"adult"	62.63767	207.68
"adult"	62.32271	161.48
"adult"	63.11011	148.28
"adult"	62.00775	249.92
"child"	58.77941	133.98
"adult"	65.59042	181.72
"adult"	65.27546	184.58
"child"	43.11015	42.9
"adult"	62.5983	159.06
"adult"	69.44868	207.46
"adult"	61.14161	119.9
"child"	39.7637	36.96
"child"	35.55111	27.72
"adult"	64.99987	155.76
"child"	47.00778	53.9
"child"	40.74795	32.56
"adult"	58.6613	127.82
"child"	44.01566	46.42
"child"	45.82668	47.96
"adult"	58.50382	145.64
"adult"	63.89751	196.24
"child"	45.6692	44.66
"adult"	60.47232	149.82
"adult"	63.07074	131.56
"child"	58.11012	85.36
"adult"	62.40145	146.96
"child"	61.4172	110.44
"child"	48.46447	57.64
"adult"	61.69279	121.44
"adult"	64.25184	157.08
"adult"	62.28334	115.06
"child"	63.11011	175.34
"adult"	67.99199	139.7
"child"	60.86602	121
"child"	60.94476	160.6
"child"	64.72428	135.52
"adult"	62.08649	106.26
"adult"	62.75578	203.5
"child"	52.95265	69.96
"adult"	60.6298	122.98
"child"	37.08654	29.7
"child"	57.71642	96.14
"child"	70.03923	194.92
"child"	50.70856	53.24
"child"	62.95263	95.7
"child"	41.57472	37.84
"child"	59.17311	88.22
"child"	34.40938	28.16
"adult"	63.42507	105.6
"adult"	63.42507	142.56
"adult"	63.14948	186.56
"child"	35.94481	29.48
"child"	42.40149	44.66
"adult"	61.96838	134.86
"child"	60.94476	140.8
"child"	63.07074	114.18
"child"	61.73216	166.1
"adult"	64.64554	133.32
"child"	41.57472	42.68
"child"	41.18102	37.84
"child"	62.87389	181.94
"adult"	66.18097	182.6
"adult"	61.45657	168.3
"child"	47.44085	84.04
"adult"	65.94475	256.52
"child"	41.7322	47.74
"adult"	62.12586	126.94
"child"	67.87388	152.68
"child"	62.48019	129.58
"child"	56.85028	92.4
"child"	42.5196	39.38
"adult"	68.22821	157.74
"child"	60.27547	98.78
"adult"	64.44869	189.2
"adult"	63.30696	158.62
"adult"	63.85814	143
"adult"	63.54318	203.72
"adult"	64.21247	109.12
"child"	54.96052	92.4
"child"	63.30696	123.64
"adult"	67.20459	158.4
"child"	42.40149	42.46
"child"	62.2046	151.14
"adult"	66.929	188.54
"adult"	68.07073	251.68
"adult"	59.99988	145.42
"adult"	63.54318	128.04
"adult"	65.23609	205.26
"child"	59.8424	137.72
"adult"	67.95262	131.12
"adult"	65.15735	140.8
"adult"	65.55105	183.26
"adult"	66.29908	231.88
"adult"	66.65341	172.26
"child"	62.87389	135.3
"adult"	64.84239	203.94
"adult"	65.31483	215.82
"child"	61.37783	110.44
"child"	64.21247	96.36
"adult"	65.23609	201.08
"adult"	62.12586	120.12
"adult"	61.14161	117.04
"child"	66.49593	123.2
"adult"	59.99988	143
"adult"	58.74004	107.36
"child"	64.52743	124.52
"child"	63.07074	110.66
"adult"	61.45657	143.22
"child"	39.96055	31.9
"adult"	62.2046	173.58
"child"	68.18884	139.26
"adult"	68.34632	145.42
"adult"	62.51956	183.48
"adult"	69.96049	251.9
"adult"	65.62979	139.48
"adult"	66.18097	170.5
"adult"	60.43295	122.1
"adult"	63.18885	116.16
"adult"	59.88177	127.6
"child"	62.71641	113.96
"child"	64.33058	125.84
"child"	37.20465	33.44
"child"	66.1416	121.44
"adult"	63.3857	153.78
"adult"	63.74003	167.86
"child"	37.24402	29.48
"adult"	67.00774	227.26
"child"	36.6141	30.8
"adult"	64.25184	137.5
"adult"	66.88963	172.92
"adult"	60.55106	167.2
"adult"	67.59829	161.92
"child"	55.27548	107.36
"child"	62.91326	185.02
"child"	54.40934	69.74
"adult"	63.85814	169.62
"child"	49.13376	46.86
"adult"	59.92114	148.94
"child"	51.33848	78.98
"adult"	63.34633	151.36
"adult"	67.20459	219.56
"child"	48.74006	51.92
"adult"	61.53531	192.94
"child"	58.70067	104.06
"child"	63.22822	108.02
"child"	62.08649	168.52
"child"	65.59042	137.28
"child"	41.22039	37.62
"adult"	64.29121	172.7
"adult"	57.00776	126.94
"adult"	60.27547	152.24
"child"	56.06288	127.38
"adult"	68.22821	225.72
"child"	41.02354	38.94
"adult"	60.47232	135.08
"adult"	59.40933	114.4
"child"	48.14951	62.48
"adult"	58.38571	125.62
"adult"	63.93688	173.14
"adult"	59.56681	165.66
"adult"	66.929	179.3
"adult"	60.35421	112.2
"adult"	62.24397	121
"adult"	64.25184	273.02
"adult"	62.992	165
"adult"	64.13373	183.92
"adult"	64.01562	194.26
"adult"	63.30696	144.76
"adult"	65.47231	202.18
"child"	47.28337	46.86
"adult"	67.63766	151.14
"child"	63.85814	134.86
"child"	44.40936	43.34
"adult"	65.11798	164.56
"adult"	65.82664	234.74
"adult"	68.30695	181.06
"adult"	66.02349	178.2
"adult"	60.19673	204.16
"child"	41.92905	38.5
"adult"	67.55892	127.16
"adult"	63.3857	103.18
"adult"	61.14161	171.16
"child"	39.29126	36.96
"child"	63.26759	129.58
"adult"	62.87389	173.58
"adult"	64.21247	144.98
"child"	40.82669	37.62
"child"	33.30702	25.52
"child"	60.6298	106.04
"adult"	65.70853	222.86
"adult"	61.92901	115.06
"adult"	65.43294	117.7
"adult"	61.06287	173.8
"adult"	64.99987	242
"adult"	62.63767	173.36
"adult"	59.52744	121
"child"	51.69281	74.8
"adult"	66.02349	141.68
"adult"	64.1731	150.04
"adult"	65.59042	177.32
"child"	34.37001	26.84
"adult"	65.11798	158.84
"child"	60.15736	106.48
"child"	68.54317	190.96
"adult"	61.22035	111.76
"child"	59.055	106.7
"child"	43.34637	37.84
"child"	62.40145	105.38
"child"	41.92905	38.28
"child"	58.6613	141.24
"adult"	63.42507	120.56
"adult"	65.66916	206.36
"adult"	61.85027	133.76
"child"	60.35421	105.82
"adult"	61.77153	140.36
"adult"	64.60617	151.8
"adult"	62.36208	144.98
"adult"	58.81878	143.22
"child"	47.12589	54.78
"child"	61.73216	88.88
"adult"	65.39357	170.28
"child"	59.96051	106.48
"adult"	64.1731	289.96
"adult"	60.59043	155.98
"child"	49.17313	46.86
"adult"	66.69278	182.6
